Månad;Veckodag;Dag;Klockslag;Timme;Utetemp;Värmeprofil foretag aldre_flerbostadshus;Elprofil foretag aldre_flerbostadshus;Värmeprofil privat aldre_villa;Elprofil privat aldre_villa;Värmeprofil foretag ny_flerbostadshus;Elprofil foretag ny_flerbostadshus;Värmeprofil privat ny_villa;Elprofil privat ny_villa;Värmeprofil foretag ny_kontor;Elprofil foretag ny_kontor;Värmeprofil foretag aldre_kontor;Elprofil foretag aldre_kontor
1;1;1;0;1;1,200371611;0,000178076;0,000088;0,000208852;0,000162824;0,000187077;0,000096;0,000208538;0,000162824;0,000233261;0,0000304;0,0002333;0,0000304
1;1;1;1;2;1,300499127;0,000177335;0,000088;0,000201587;0,000137301;0,000189922;0,000096;0,000201283;0,000137301;0,000233893;0,0000368;0,0002339;0,0000368
1;1;1;2;3;1,40054905;0,00017649;0,000085;0,000201734;6,46707E-05;0,000192768;0,000089;0,000201431;6,46707E-05;0,000234525;0,0000355;0,0002345;0,0000355
1;1;1;3;4;1,500204073;0,000175272;0,000088;0,000208865;6,25627E-05;0,000194594;0,000082;0,00020855;6,25627E-05;0,000233873;0,0000374;0,0002339;0,0000374
1;1;1;4;5;1,500392078;0,000175256;0,000085;0,000193553;6,67767E-05;0,00019744;0,000082;0,000193262;6,67767E-05;0,000234505;0,0000375;0,0002345;0,0000375
1;1;1;5;6;1,600768172;0,000174392;0,000088;0,000164081;5,82546E-05;0,000199267;0,000096;0,000163834;5,82546E-05;0,000233853;0,0000371;0,0002339;0,0000371
1;1;1;6;7;1,700090479;0,00017379;0,000088;0,000211633;0,00015149;0,000202112;0,000124;0,000211315;0,00015149;0,000234485;0,0000379;0,0002345;0,0000379
1;1;1;7;8;2,200004667;0,000169227;0,000092;0,000184539;0,000103537;0,000206996;0,000117;0,000184261;0,000103537;0,000237685;0,0000357;0,0002377;0,0000357
1;1;1;8;9;2,800273183;0,000165517;0,000085;0,000170974;6,71987E-05;0,000213919;0,00011;0,000170716;6,71987E-05;0,000243452;0,000052;0,0002435;0,000052
1;1;1;9;10;3,500367888;0,000160745;0,000073;0,000161684;0,000115807;0,000219822;0,000103;0,00016144;0,000115807;0,000247936;0,0000493;0,0002479;0,0000493
1;1;1;10;11;3,900059531;0,000157604;0,000081;0,000150442;0,000201128;0,000211457;0,00011;0,000150215;0,000201128;0,000234445;0,0000501;0,0002344;0,0000501
1;1;1;11;12;5,000002053;0,000148261;0,000077;0,000138627;0,000158046;0,000204111;0,00011;0,000158192;0,000158046;0,000222238;0,0000493;0,0002222;0,0000493
1;1;1;12;13;6,000673591;0,000138712;0,000077;0,000123005;0,000143717;0,000198803;0,000117;0,000140365;0,000143717;0,000212599;0,0000489;0,0002126;0,0000489
1;1;1;13;14;6,600487751;0,000131595;0,000081;0,000127101;0,00018015;0,000202668;0,000124;0,00014504;0,00018015;0,000214515;0,000049;0,0002145;0,000049
1;1;1;14;15;6,70093137;0,000130618;0,000073;0,000121885;8,78029E-05;0,000217744;0,000137;0,000139087;8,78029E-05;0,000230553;0,0000502;0,0002306;0,0000502
1;1;1;15;16;6,900572806;0,000128542;0,000077;0,000113052;0,000125173;0,000243011;0,000158;0,000129008;0,000125173;0,000259431;0,0000537;0,0002594;0,0000537
1;1;1;16;17;6,700924541;0,000130514;0,000081;0,000119491;0,000159592;0,000259105;0,000158;0,000136355;0,000159592;0,000276754;0,0000564;0,0002768;0,0000564
1;1;1;17;18;6,900225472;0,000128587;0,000085;0,000108423;0,000276805;0,000272143;0,000158;0,000123725;0,000276805;0,000290224;0,0000556;0,0002902;0,0000556
1;1;1;18;19;6,900139899;0,000128648;0,000088;0,000107879;0,0001853;0,000279065;0,000179;0,000123104;0,0001853;0,000295992;0,0000543;0,000296;0,0000543
1;1;1;19;20;6,900938364;0,000128663;0,000085;9,46665E-05;0,000121707;0,000281911;0,000185;0,000108027;0,000121707;0,000296624;0,0000558;0,0002966;0,0000558
1;1;1;20;21;6,700340187;0,000130448;0,000085;0,000116817;0,000119835;0,000284756;0,000185;0,000133304;0,000119835;0,000297256;0,0000554;0,0002973;0,0000554
